OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completeness,completeness_judge,ref_id,tnorm
"531",-30.694642986,-60.9450208285,133705.591223,"128","24",ARG.SF,Santa Fe,"0",AGE-SF,Santa Fβ,AGE,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.096
"532",-30.8153462481,-68.8716681779,86778.1421381,"94","25",ARG.SJ,San Juan,"0",AGW-SJ,San Juan,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.108
"533",-33.7564853708,-66.0287261044,77386.86837,"100","26",ARG.SL,San Luis,"0",AGW-SL,San Luis,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.129
"534",-54.3297767879,-67.426286695,20884.1343962,"150","27",ARG.TF,Tierra del Fuego,"1",AGS-TF,Tierra del Fuego (Argentina),AGS,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.718
"535",-26.9432062803,-65.3781708612,23071.491941,"143","28",ARG.TU,TucumΓ‘n,"0",AGW-TU,Tucuman,AGW,"85","8",Southern America,ARG,Argentina,"1","2","2385",0.620
"647",17.4908423446,-62.9762829294,23.4369022801,"36","142",BES.EUS,Sint Eustatius,"1",LEE-NL,Netherlands Leeward Is.,LEE,"81","8",Southern America,ANT,Netherlands Antilles,"2","1","130",153.604
"648",17.631469265,-63.237527582,14.3533045642,"38","143",BES.SAB,Saba,"1",LEE-NL,Netherlands Leeward Is.,LEE,"81","8",Southern America,ANT,Netherlands Antilles,"2","1","130",264.747
"651",24.259785887,-76.6441079271,13377.8224764,"46","146",BHS,Bahamas,"1",BAH-OO,Bahamas,BAH,"81","8",Southern America,BHS,Bahamas (the),"2","1","64",0.344
"652",17.9019776455,-62.8296981691,21.9044757609,"79","147",BLM,Saint Barthelemy,"1",LEE-SM,St.Martin-St.Barthβlβmy,LEE,"81","8",Southern America,GLP,Guadeloupe,"2","1","1",360.657
"661",32.3160877892,-64.7396071092,21.4625582919,"315","150",BMU,Bermuda,"1",BER-OO,Bermuda,BER,"81","8",Southern America,BMU,Bermuda,"1","2","2363",1467.672
"662",-16.7238514399,-64.6619195453,1086984.30886,"223","151",BOL,Bolivia,"0",BOL-OO,Bolivia,BOL,"83","8",Southern America,BOL,Bolivia (Plurinational State of),"2","2","21",0.021
"663",-9.30119223777,-70.4828950823,152051.124112,"91","152",BRA.AC,Acre,"0",BZN-AC,Acre,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.060
"664",-9.51302297903,-36.6255343546,28065.1210458,"94","153",BRA.AL,Alagoas,"0",BZE-AL,Alagoas,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.335
"666",1.4484930112,-51.9611066844,139442.497704,"60","155",BRA.AP,AmapΓ‘,"0",BZN-AP,AmapΒ ,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.043
"667",-12.4750057069,-41.7044700985,559875.444108,"281","156",BRA.BA,Bahia,"0",BZE-BA,Bahia,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.050
"669",-15.7712368945,-47.7897522019,5847.80588663,"172","158",BRA.DF,Distrito Federal,"0",BZC-DF,Brazilia Distrito Federal,BZC,"84","8",Southern America,BRA,Brazil,"1","1","2413",2.941
"670",-19.5730280318,-40.6676236187,45774.2290803,"189","159",BRA.ES,EspΓ­rito Santo,"0",BZL-ES,Espirito Santo,BZL,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.413
"671",-20.5082090378,-29.3032673595,11.8035656785,"34","160",BRA.ES.TMZ,Trindade and Martin Vaz,"1",BZL-ES,Espirito Santo,BZL,"84","8",Southern America,BRA,Brazil,"2","2","5",288.049
"672",-16.0058813628,-49.5921261465,342797.819437,"152","161",BRA.GO,GoiΓ‘s,"0",BZC-GO,GoiΒ s,BZC,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.044
"673",-5.08983324895,-45.2900703011,325989.325077,"108","162",BRA.MA,MaranhΓ£o,"0",BZE-MA,Maranhao,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.033
"674",-18.4517927053,-44.6734108883,586645.754749,"297","163",BRA.MG,Minas Gerais,"0",BZL-MG,Minas Gerais,BZL,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.051
"675",-20.3358486856,-54.8366662189,355799.904467,"163","164",BRA.MS,Mato Grosso do Sul,"0",BZC-MS,Mato Grosso do Sul,BZC,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.046
"676",-12.9642818584,-55.9226392906,903625.58118,"126","165",BRA.MT,Mato Grosso,"0",BZC-MT,Mato Grosso,BZC,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.014
"677",-4.03779959136,-53.1259448945,1234357.82823,"126","166",BRA.PA,ParΓ‘,"0",BZN-PA,ParΒ ,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.010
"678",-7.11898127088,-36.8232829003,56576.0394113,"146","167",BRA.PB,ParaΓ­ba,"0",BZE-PB,ParaΒ‘ba,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.258
"679",-8.32952117879,-37.992896041,97564.3195016,"219","168",BRA.PE,Pernambuco,"0",BZE-PE,Pernambuco,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.224
"681",-24.6326832759,-51.6295665807,198696.62778,"382","170",BRA.PR,ParanΓ‘,"0",BZS-PR,ParanΒ ,BZS,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.192
"682",-22.1899567029,-42.6656364762,43919.3539903,"311","171",BRA.RJ,Rio de Janeiro,"0",BZL-RJ,Rio de Janeiro,BZL,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.708
"683",-5.84216350387,-36.6816358299,52800.5246242,"111","172",BRA.RN,Rio Grande do Norte,"0",BZE-RN,Rio Grande do Norte,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.210
"684",-10.9203466747,-62.8440691137,238433.198792,"61","173",BRA.RO,RondΓ΄nia,"0",BZN-RO,Rondβnia,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.026
"685",2.06906081623,-61.401111931,224900.829702,"64","174",BRA.RR,Roraima,"0",BZN-RM,Roraima,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.028
"686",-29.7356952269,-53.3199339291,272283.090074,"333","175",BRA.RS,Rio Grande do Sul,"0",BZS-RS,Rio Grande do Sul,BZS,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.122
"687",-27.2482161183,-50.4861164979,95097.1047599,"334","176",BRA.SC,Santa Catarina,"0",BZS-SC,Santa Catarina,BZS,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.351
"688",-10.5791622496,-37.4471280533,21396.1688921,"86","177",BRA.SE,Sergipe,"0",BZE-SE,Sergipe,BZE,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.402
"689",-22.2595614085,-48.7222959088,247633.965766,"402","178",BRA.SP,SΓ£o Paulo,"0",BZL-SP,S?o Paulo,BZL,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.162
"690",-10.1183255988,-48.3234784837,276461.720417,"58","179",BRA.TO,Tocantins,"0",BZN-TO,Tocantins,BZN,"84","8",Southern America,BRA,Brazil,"1","1","2413",0.021
"691",13.1722621606,-59.5563895583,434.639682616,"243","180",BRB,Barbados,"1",WIN-BA,Barbados,WIN,"81","8",Southern America,BRB,Barbados,"2","1","1",55.908
"712",-45.4350401812,-73.687389763,35661.1281684,"54","202",CHL.AI,AisΓ©n,"0",CLS-AI,Aisβn,CLS,"85","8",Southern America,CHL,Chile,"2","0","45",0.151
"714",-18.7524236219,-69.9015322335,7911.12473235,"85","204",CHL.AR,Arica,"0",CLN-TA,Tarapaca,CLN,"85","8",Southern America,CHL,Chile,"2","0","45",1.074
"715",-33.7674839183,-80.7919702355,56.7227508973,"118","205",CHL.ASI,"Alejandro Selkirk Island, Juan Fernadez Islands","1",JNF-OO,Juan FernΒ ndez Is.,JNF,"85","8",Southern America,CHL,Chile,"3","1","82",208.029
"716",-37.6857264949,-73.3258262043,5652.3292913,"97","206",CHL.AU,Arauco,"0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.716
"717",-37.5124674451,-71.961765265,14348.8042583,"139","207",CHL.BI,BiobΓ­o,"0",CLC-BI,BiobΒ‘o,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.969
"718",-34.2925788278,-70.6920975444,7095.60654264,"61","208",CHL.CA,Cachapoal,"0",CLC-OH,O'Higgins,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",0.860
"720",-34.3260468392,-71.7802760397,3300.92792897,"57","210",CHL.CC,Cardenal Caro,"0",CLC-OH,O'Higgins,CLC,"85","8",Southern America,CHL,Chile,"2","0","45",1.727
