"ref_id","ref_type","reference"
2326,3,"Breckle, S.-W., I. C. Hedge, and M. D. Rafiqpoor. 2013. Vascular plants of Afghanistan: an augmented checklist. Scientia Bonnensis, Bonn, Germany."
2327,2,"Schäfer, H. 2003. Chorology and diversity of the Azorean flora. Dissertationes Botanicae 374."
2328,6,"Pahlevani, A., and F. Essl. 2015. pers. communication."
2330,3,"Zuloaga, F. O., O. Morrone, and M. J. Belgrano. 2008. Catálogo de Las Plantas Vasculares Del Cono Sur: (Argentina, Sur de Brasil, Chile, Paraguay y Uruguay). Missouri Botanical Garden Press."
2331,4,"B. C. Conservation Data Centre. 2015. BC Species and Ecosystems Explorer. B.C. Ministry of Environment, Victoria, B.C. http://a100.gov.bc.ca/pub/eswp/. Downloaded on 2 October 2015."
2332,2,"Xu, H., and S. Qiang. 2004. Inventory Invasive Alien Species in China. Beijing: China Environmental Science Press."
2333,2,"Wan, F. 2012. Biological invasions: color illustrations of invasive alien plants in China. Science Press, Beijing."
2334,1,"Rejmánek, M., B. J. Huntley, J. J. Le Roux, and D. M. Richardson. 2016. A rapid survey of the invasive plant species in western Angola. African Journal of Ecology."
2335,1,"Shaltout, K. H., H. A. Hosni, H. F. El-Kady, M. A. El-Beheiry, and S. K. Shaltout. 2016. Composition and pattern of alien species in the Egyptian flora. Flora 222:104-110."
2336,1,"Kim, C.-G., and J. Kil. 2016. Alien flora of the Korean Peninsula. Biological Invasions 18:1843-1852."
2337,3,"Klaassen, E., and E. Kwembeya. 2013. A checklist of Namibian indigenous and naturalised plants. Occasional Contributions No. 5. National Botanical Research Institute, Windhoek, Namibia."
2338,6,"Patzelt, A. 2016. pers. communication."
2341,1,"Zykova, E. Y. 2015. Alien flora of the Altai Republic. Rastitelnyi Mir Aziatskoy Rossii 3:72-87."
2344,4,"Bernal, R., S. R. Gradstein, and M. Celis, editors. 2015. Catálogo de plantas y líquenes de Colombia. Editorial Universidad Nacional de Colombia, Bogotá. http://catalogoplantasdecolombia.unal.edu.co/es/. Downloaded on 15 January 2016."
2345,1,"Bhattarai, K. R., I. E. Måren, and S. C. Subedi. 2014. Biodiversity and invasibility: Distribution patterns of invasive plant species in the Himalayas, Nepal. Journal of Mountain Science 11:688-696."
2346,1,"Antonova, L. A. 2013. Invasive component of flora in Khabarovsk krai. Russian Journal of Biological Invasions 4:69-73."
2348,5,"Ecological Society of Japan (ed). 2002. Provisional list of alien species naturalized in Japan - Handbook of Alien Species in Japan. Tokyo. http://www.nies.go.jp/biodiversity/invasive/resources/listen_toc.html. Downloaded on 19 July 2016."
2349,1,"Kadono, Y. 2004. Alien aquatic plants naturalized in Japan: history and present status. Global Environmental Research 8:163-169."
2350,1,"Rojas-Sandoval, J., and P. Acevedo-Rodríguez. 2015. Naturalization and invasion of alien plants in Puerto Rico and the Virgin Islands. Biological Invasions 17:149-163."
2351,6,"Thomas, J., M. A. El-Sheikh, A. H. Alfarhan, A. A. Alata, M. Sivadasan, M. Basahi, S. Al-Obaid, and R. Rajakrishnan. 2016. Impact of alien invasive species on habitats and species richness in Saudi Arabia. Journal of Arid Environments 127:53-65."
2353,1,"Protopopova, V. V., and M. V. Shevera. 2014. Ergasiophytes of the Ukrainian flora. Biodiversity Research and Conservation 35:31-46."
2354,6,"Siebel, H. 2015. pers. communication."
2355,1,"Tyler, T., T. Karlsson, P. Milberg, U. Sahlin, and S. Sundberg. 2015. Invasive plant species in the Swedish ﬂora: developing criteria and deﬁnitions, and assessing the invasiveness of individual taxa. Nordic Journal of Botany 33:300-317."
2356,2,"Soorae, P., S. Javed, S. Al Dhaheri, M. Al Qassimi, M. Kabshawi, A. Saji, S. Khan, S. Sakkir, R. Al Zaabi, S. Ahmed, J. N. Shah, and A. Ali. 2015. Alien species recorded in the United Arab Emirates: an initial list of terrestrial and freshwater species. Journal of Threatened Taxa 7:7910-7921."
2357,2,"Henderson, L. 2002. Problem Plants in Ngorongoro Conservation Area. A report to the Ngorongoro Conservation Areas Authority, Tanzania. Final Report Compiled 29 November 2002 for NCAA and FZS, Agricultural Research Council–Plant Protection Research Institute, Stationed at National Botanical Institute, Pretoria, South Africa."
2358,2,"Tiwari, S., M. Siwakoti, B. Adhikari, and K. Subedi. 2005. An Inventory and Assessment of Invasive Alien Plant Species of Nepal, IUCN - The World Conservation Union, Nepal. IUCN Nepal."
2359,1,"Camarda, I., T. A. Cossu, L. Carta, A. Brunu, and G. Brundu. 2016. An updated inventory of the non-native flora of Sardinia (Italy). Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology 150:1106-1118."
