OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
"124",-27.12050732840,-109.35649361300,168.13181343000,"2","1252",CHL.EAS,"Easter Island, Chile","1",EAS-OO,Easter Is.,EAS,"61","6",Pacific,CHL,Chile
"129",1.69399772861,10.36051156750,26574.90550280000,"341","356",GNQ,Equatorial Guinea,"0",EQG-OO,Equatorial Guinea,EQG,"23","2",Africa,GNQ,Equatorial Guinea
"130",-1.37839895469,-89.67870362920,64.11423179070,"10","971",ECU.GAL.ESP,Española,"1",GAL-OO,Gal pagos,GAL,"83","8",Southern America,ECU,Ecuador
"132",38.57821749480,-28.70133236750,173.09085344200,"911","990",PRT.AZO.FAI,Faial,"1",AZO-OO,A‡“res,AZO,"21","2",Africa,PRT,Portugal
"138",-0.38573445823,-91.51293684050,649.10592789800,"6","972",ECU.GAL.FER,Fernandina,"1",GAL-OO,Gal pagos,GAL,"83","8",Southern America,ECU,Ecuador
"145",-1.29360294796,-90.43529129120,178.02898368300,"124","973",ECU.GAL.FLO,Floreana,"1",GAL-OO,Gal pagos,GAL,"83","8",Southern America,ECU,Ecuador
"146",39.44195018850,-31.20248974830,140.98242638400,"621","991",PRT.AZO.FLO,Flores,"1",AZO-OO,A‡“res,AZO,"21","2",Africa,PRT,Portugal
"151",23.84979207510,-166.26210090000,0.25048569727,"24","747",USA.HI.FFS,French Frigate Shoals,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the)
"154",13.43274783680,-15.48813544740,9933.26468519000,"11","994",GAM,Gambia,"0",GAM-OO,"Gambia, The",GAM,"22","2",Africa,GMB,Gambia (the)
"158",0.32522902443,-89.95676097970,15.38315969210,"1","974",ECU.GAL.GEN,Genovesa,"1",GAL-OO,Gal pagos,GAL,"83","8",Southern America,ECU,Ecuador
"160",39.05229370620,-28.01132729400,60.69152479880,"608","987",PRT.AZO.GRA,Graciosa,"1",AZO-OO,A‡“res,AZO,"21","2",Africa,PRT,Portugal
"171",19.59808362360,-155.51837498500,10457.21621140000,"958","748",USA.HI.HAW,Hawai'i (Big Island),"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the)
"198",32.73773588270,54.20015633180,1679310.40685999999,"35","900",IRN,Iran (Islamic Republic of),"0",IRN-OO,Iran,IRN,"34","3",Asia-Temperate,IRN,Iran (Islamic Republic of)
"202",-0.55929258786,-91.18434395330,4726.57348200000,"164","975",ECU.GAL.ISA,Isabela,"1",GAL-OO,Gal pagos,GAL,"83","8",Southern America,ECU,Ecuador
"211",-33.70984557000,-79.85602744180,109.51282114400,"5","1234",CHL.JNF,Juan Fernandez Islands,"1",JNF-OO,Juan Fern ndez Is.,JNF,"85","8",Southern America,CHL,Chile
"213",21.65414371380,-160.54148652200,0.74776611583,"12","750",USA.HI.KAR,Ka'ula Rock,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the)
"214",20.54761152680,-156.60934060200,116.65852506600,"144","749",USA.HI.KAH,Kaho'olawe,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the)
"220",46.77492259250,13.92672773650,9522.47912026000,"179","915",AUT.CAR,Kärnten,"0",AUT-AU,Austria,AUT,"11","1",Europe,AUT,Austria
"222",22.05836306600,-159.52424104300,1442.95150339000,"722","751",USA.HI.KAU,Kaua'i,"1",HAW-HI,Hawaiian Is.,HAW,"63","6",Pacific,USA,United States of America (the)
