OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,tnorm,completeness,completeness_judge,ref_id
"1239",-4.68586599157,55.4335808802,0.04575418594,"2","707",SYC.IVM,"Ile aux Vaches Marines, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,4371.185,"3","1","49"
"1240",-4.36089469325,55.8378782957,10.5736914941,"77","708",SYC.LDI,"La Digue, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,728.222,"3","1","49"
"1241",-4.67644340825,55.4672799831,163.012831295,"290","709",SYC.MAH,"Mahe, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,177.9,"3","1","49"
"1242",-4.34199659553,55.9211002893,1.07254157802,"70","710",SYC.MAR,"Marianne, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,6526.554,"2","2","53"
"1243",-6.17923314702,53.1438968969,0.69476691481,"29","711",SYC.MLO,"Marie-Louise, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,4174.062,"3","1","49"
"1244",-4.39299610902,55.2445725234,2.12434218435,"160","712",SYC.NOI,"North Island, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,7531.743,"2","2","53"
"1245",-5.86369111617,55.3846625558,0.5641773671,"21","713",SYC.PLA,"Platte, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,3722.234,"3","1","49"
"1246",-5.7609208545,53.3063415916,3.45751131002,"40","714",SYC.POI,"Poivre, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,1156.901,"3","1","49"
"1247",-4.32387974155,55.7301449723,39.3214655982,"104","715",SYC.PRA,"Praslin, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,264.487,"3","1","49"
"1248",-9.53196010943,50.9869176658,1.3304688644,"7","716",SYC.PRO,"Providence, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,526.13,"3","1","49"
"1249",-4.28818192586,55.85551649,0.51615613171,"2","717",SYC.PSO,"Petit Soeur, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,387.48,"3","1","49"
"1250",-4.58228305954,55.7636094349,0.29616630402,"2","718",SYC.REC,"Recifs, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,675.296,"3","1","49"
"1251",-5.11664110791,53.3123364913,0.31456635436,"25","719",SYC.REM,"Remire, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,7947.449,"3","1","49"
"1252",-7.15671817372,52.7381340313,0.72164858588,"4","720",SYC.SFR,"St Francois, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,554.286,"3","1","49"
"1253",-4.48721069943,55.2306648807,20.5509433112,"133","721",SYC.SIL,"Silhouette, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,647.172,"3","1","49"
"1254",-5.43712136091,53.3581190508,1.58177684279,"16","722",SYC.SJO,"St Joseph, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,1011.521,"3","1","49"
"1255",-9.33168443265,50.7275142695,1.87770580577,"10","723",SYC.STP,"St Pierre, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,532.565,"3","1","49"
"1256",-4.67404354442,55.4013248793,0.8631560638,"51","724",SYC.THE,"Therese, Seychelles","1",SEY-OO,Seychelles,SEY,"29","2",Africa,SYC,Seychelles,5908.549,"2","2","53"
"1205",0.45698584302,6.73658831057,1142.07681891,"384","673",STP,Sao Tome and Principe,"1",000-06,Sao Tome and Principe,GGI,"23","2",Africa,STP,Sao Tome and Principe,33.623,"1","2","139"
"1389",-12.8239914776,45.1439209442,371.423619576,"1","999",FRA.MAY,Mayotte,"1",COM-MA,Mayotte,COM,"29","2",Africa,MYT,Mayotte,0.269,"1","2","139"
