OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
1203,6.066544828,45.8483581,635246.3961,69,671,SOM,Somalia,0,SOM-OO,Somalia,SOM,24,2,Africa,SOM,Somalia
1210,-26.57902292,31.49026616,16784.11391,587,678,SWZ,Swaziland,0,SWZ-OO,Swaziland,SWZ,27,2,Africa,SWZ,Swaziland
1212,-4.880126845,53.38679286,0.069895015,2,680,SYC.AFB,"African Banks, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1213,-9.425483343,46.36881407,164.2270885,53,681,SYC.ALD,"Aldabra, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1214,-7.006184493,52.72647688,1.929663849,27,682,SYC.ALP,"Alphonse, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1215,-4.212570914,55.66656933,0.833868441,40,683,SYC.ARI,"Aride, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1216,-9.730865264,46.51151204,12.07709085,35,684,SYC.ASS,"Assumption, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1217,-10.08660356,47.74172252,10.9570704,32,685,SYC.AST,"Astove, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1218,-3.720209255,55.20548702,1.034969274,91,686,SYC.BIR,"Bird, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1219,-4.258608352,55.67335667,0.061403558,1,687,SYC.BOI,"Booby Island, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1220,-4.312196541,55.86536323,0.037075362,2,688,SYC.COC,"Cocos, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1221,-7.129637182,56.27999428,9.983859837,54,689,SYC.COE,"Coetivy, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1222,-4.663767469,55.36599167,0.703650083,38,690,SYC.CON,"Conception, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1223,-9.726323403,47.57317522,6.273316112,26,691,SYC.COS,"Cosmoledo, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1224,-4.331230682,55.66285795,0.433995912,86,692,SYC.COU,"Cousin, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1225,-4.350735947,55.64772396,0.318731228,3,693,SYC.CSE,"Cousine, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1226,-4.28281781,55.72523367,3.349345373,111,694,SYC.CUR,"Curieuse, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1227,-5.415730655,53.29846409,1.755549178,52,695,SYC.DAR,"Darros, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1228,-3.805835279,55.66664138,1.673813122,94,696,SYC.DEN,"Denis, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1229,-5.689395707,53.66904019,4.362498617,26,697,SYC.DES,"Desroches, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1230,-6.234875581,53.04342239,0.499327203,15,698,SYC.DNO,"Desnoefs, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1231,-10.15932087,51.165566,9.130840267,39,699,SYC.FAR,"Farquhar, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1232,-4.328060838,55.87486529,2.884029554,69,700,SYC.FEL,"Felicite, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1233,-4.586333192,55.9413175,2.299607188,101,701,SYC.FRE,"Fregate, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1234,-4.289914634,55.86910569,0.889438289,60,702,SYC.GSO,"Grande Soeur, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1235,-4.63478272,55.50044988,1.131995087,27,703,SYC.IAC,"Ile au Cerf, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1236,-4.659656229,55.52594033,2.14009482,34,704,SYC.IAN,"Ile Anonyme, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1237,-4.626598803,55.50821676,0.245212084,21,705,SYC.ILO,"Ile Longue, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1238,-4.607184566,55.50105802,1.461074005,67,706,SYC.ISA,"Ile St Anne, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1239,-4.685865992,55.43358088,0.045754186,2,707,SYC.IVM,"Ile aux Vaches Marines, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1240,-4.360894693,55.8378783,10.57369149,77,708,SYC.LDI,"La Digue, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1241,-4.676443408,55.46727998,163.0128313,290,709,SYC.MAH,"Mahe, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1242,-4.341996596,55.92110029,1.072541578,70,710,SYC.MAR,"Marianne, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1243,-6.179233147,53.1438969,0.694766915,29,711,SYC.MLO,"Marie-Louise, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1244,-4.392996109,55.24457252,2.124342184,160,712,SYC.NOI,"North Island, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1245,-5.863691116,55.38466256,0.564177367,21,713,SYC.PLA,"Platte, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1246,-5.760920855,53.30634159,3.45751131,40,714,SYC.POI,"Poivre, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1247,-4.323879742,55.73014497,39.3214656,104,715,SYC.PRA,"Praslin, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1248,-9.531960109,50.98691767,1.330468864,7,716,SYC.PRO,"Providence, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1249,-4.288181926,55.85551649,0.516156132,2,717,SYC.PSO,"Petit Soeur, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
1250,-4.58228306,55.76360943,0.296166304,2,718,SYC.REC,"Recifs, Seychelles",1,SEY-OO,Seychelles,SEY,29,2,Africa,SYC,Seychelles
