OBJIDsic,Region_unique,yearGDP,GDPpcRegion
122,TLS_East_Timor_122,2010,875.80
464,TKM_Turkmenistan_464,2010,9828.70
292,TKM_Montane_Turkmenistan_292,2010,9828.70
217,TKM_Kara_Kum_217,2010,9828.70
448,TJK_Tursunzade_448,2010,739.70
441,TJK_Tajikistan_441,2010,739.70
447,TJK_Kurgan_Tyube_447,2010,739.70
446,TJK_Kulyab_446,2010,739.70
445,TJK_Khudjand_445,2010,739.70
440,TJK_Khorog_440,2010,739.70
444,TJK_Istravshan_444,2010,739.70
443,TJK_Isfara_443,2010,739.70
442,TJK_Dushanbe_442,2010,739.70
1259,THA_Thailand_1259,2010,8065.57
1258,TGO_Togo_1258,2005,725.43
719,TCD_Chad_719,2010,736.00
439,SYR_Syria_439,2010,739.70
1256,SYC_Therese_1256,,uninhabited
1255,SYC_St_Pierre_1255,,uninhabited
1254,SYC_St_Joseph_1254,,uninhabited
1252,SYC_St_Francois_1252,,uninhabited
1253,SYC_Silhouette_1253,2010,10805.10
413,SYC_Seychelles_413,2010,10805.10
1251,SYC_Remire_1251,2010,10805.10
1250,SYC_Recifs_1250,,uninhabited
1248,SYC_Providence_1248,2010,10805.10
1247,SYC_Praslin_1247,2010,10805.10
1246,SYC_Poivre_1246,2010,10805.10
1245,SYC_Platte_1245,2010,10805.10
1249,SYC_Petit_Soeur_1249,,uninhabited
1244,SYC_North_Island_1244,2010,10805.10
1243,SYC_Marie_Louise_1243,2010,10805.10
1242,SYC_Marianne_1242,,uninhabited
1241,SYC_Mahe_1241,2010,10805.10
1240,SYC_La_Digue_1240,2010,10805.10
1238,SYC_Ile_St_Anne_1238,,uninhabited
185,SYC_Ile_Moyenne_185,,uninhabited
1237,SYC_Ile_Longue_1237,2010,10805.10
1239,SYC_Ile_aux_Vaches_Marines_1239,,uninhabited
1235,SYC_Ile_au_Cerf_1235,2010,10805.10
1236,SYC_Ile_Anonyme_1236,,uninhabited
1234,SYC_Grande_Soeur_1234,,uninhabited
1233,SYC_Fregate_1233,2010,10805.10
1232,SYC_Felicite_1232,2010,10805.10
1231,SYC_Farquhar_1231,2010,10805.10
1229,SYC_Desroches_1229,2010,10805.10
1230,SYC_Desnoefs_1230,,uninhabited
1228,SYC_Denis_1228,,uninhabited
1227,SYC_Darros_1227,2010,10805.10
1226,SYC_Curieuse_1226,,uninhabited
